source_url,data_identifier,version,accessed_utc,acquisition_conditions,saved_path,file_size_bytes,sha256,license_or_terms,completeness,repository_distribution
https://itrf.ign.fr/ftp/pub/itrf/itrf2020/ITRF2020_SLR.SSC.txt,ITRF2020 SLR station positions and velocities,ITRF2020 release,2026-09-24T08:10:00Z,HTTPS direct download,data/raw/itrf2020/ITRF2020_SLR.SSC.txt,39747,d0f7afc0111eec3ccb292c496884d98c8aeafade44abdc7a475735f546809b4d,Official ITRF product; cite source and associated publication,complete file,public research input
https://link.springer.com/journal/190/aims-and-scope,Journal of Geodesy aims and scope,accessed 2026-09-24,2026-09-24T08:10:00Z,HTTPS page snapshot,data/raw/journal/aims-and-scope.html,174096,608d1208b9255647742bc193f81c30765464d72f15444d6ec8fd72de3f92b594,Springer Nature website terms,complete HTML response,local snapshot only
https://link.springer.com/journal/190/submission-guidelines,Journal of Geodesy submission guidelines,accessed 2026-09-24,2026-09-24T08:10:00Z,HTTPS page snapshot,data/raw/journal/submission-guidelines.html,301149,c7f77d3f6ecf8697342e80aa5631b342677430a434abbd45819e412125a501bb,Springer Nature website terms,complete HTML response,local snapshot only
https://link.springer.com/journal/190/aims-and-scope,Journal of Geodesy aims and scope,accessed 2026-09-25,2026-09-25T03:00:00Z,HTTPS page snapshot,data/raw/journal/aims-and-scope_2026-09-25.html,174096,218e47ba1acda087faa1f5056d4c4199fe6a457ec96ea30cf61dc93238e1b930,Springer Nature website terms,complete HTML response,local snapshot only
https://link.springer.com/journal/190/submission-guidelines,Journal of Geodesy submission guidelines,accessed 2026-09-25,2026-09-25T03:00:00Z,HTTPS page snapshot,data/raw/journal/submission-guidelines_2026-09-25.html,301149,1497352f82de50e4dbddd6d0d3304030b9fd8ccee508bc4d146320eed925c0f5,Springer Nature website terms,complete HTML response,local snapshot only
https://www.springernature.com/us/policies/editorial-policies/ai-manuscript-preparation,Springer Nature AI use in manuscript preparation policy,accessed 2026-09-25,2026-09-25T03:00:00Z,HTTPS page snapshot,data/raw/journal/springer-ai-manuscript-policy_2026-09-25.html,84145,458aba4b19d4dec26c9eb728b43e6520b871ce320974a180dd06fe04c270a1df,Springer Nature website terms,complete HTML response,local snapshot only
https://api.crossref.org/works/10.1029/2001JB000561,ITRF2000 Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_altamimi_2002_2026-09-25.json,9361,4c5b0cbd882fe122bb4e15cc24be65b6d85cc8246bbd31ee13ac0ad647217f32,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1029/2002GL016279,No-Net-Rotation Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_altamimi_2003_2026-09-25.json,5668,8d33a635fec1486bb682c6e77218c901bab52758bb0dea45a8003e92890143af,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s00190-023-01738-w,ITRF2020 Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_altamimi_2023_2026-09-25.json,29007,cdac6400d6d8fef9325dde859cc52554f25c772152956679a6f2f5c50f7f64bf,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s00190-013-0685-5,Trajectory-model Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_bevis_brown_2014_2026-09-25.json,17517,3ed53fd8c3efe1e8279c3fbb027fd00fae2ce901d2d4d7a0e2396c2f6dc4d4e8,Crossref REST API terms,complete work record,local metadata snapshot
